Latitude;Longitude;Temp;SA;Specific Humidity at 2 Meters;RH;Eff;Output
-0.56429;111.44871;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
-0.56429;111.59701;25.2195;4.9237;0.0186;90.4702;0.0338;0.1664
-0.56429;111.74531;25.2195;4.9237;0.0186;90.4702;0.0338;0.1664
-0.56429;111.89361;25.2195;4.9237;0.0186;90.4702;0.0338;0.1664
-0.56429;112.04191;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.56429;112.19021;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.56429;112.33851;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.56429;112.48681;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.56429;112.63511;24.8009;4.8987;0.0183;90.994;0.0351;0.1719
-0.56429;112.78341;24.8009;4.8987;0.0183;90.994;0.0351;0.1719
-0.56429;112.93171;24.8009;4.8987;0.0183;90.994;0.0351;0.1719
-0.56429;113.08001;24.8282;4.9441;0.0184;91.185;0.0347;0.1714
-0.56429;113.22831;24.8282;4.9441;0.0184;91.185;0.0347;0.1714
-0.56429;113.37661;24.8282;4.9441;0.0184;91.185;0.0347;0.1714
-0.56429;113.52491;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.56429;113.67321;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.56429;113.82151;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.56429;113.96981;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.56429;114.11811;25.4229;4.963;0.0187;90.7425;0.0324;0.1606
-0.56429;114.26641;25.4229;4.963;0.0187;90.7425;0.0324;0.1606
-0.56429;114.41471;25.4229;4.963;0.0187;90.7425;0.0324;0.1606
-0.56429;114.56301;25.565;4.963;0.0188;90.772;0.0316;0.1568
-0.56429;114.71131;25.565;4.963;0.0188;90.772;0.0316;0.1568
-0.56429;114.85961;25.565;4.963;0.0188;90.772;0.0316;0.1568
-0.56429;115.00791;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.56429;115.15621;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.56429;115.30451;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.56429;115.45281;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.56429;115.60111;25.5591;4.9113;0.0188;90.6958;0.0317;0.1559
-0.56429;115.74941;25.5591;4.9113;0.0188;90.6958;0.0317;0.1559
-0.56429;115.89771;25.5591;4.9113;0.0188;90.6958;0.0317;0.1559
-0.56429;116.04601;25.6388;4.783;0.0187;90.2336;0.0321;0.1533
-0.56429;116.19431;25.6388;4.783;0.0187;90.2336;0.0321;0.1533
-0.56429;116.34261;25.6388;4.783;0.0187;90.2336;0.0321;0.1533
-0.57619;109.86711;26.5321;4.9919;0.0192;88.6828;0.0299;0.1495
-0.57619;109.99021;26.5321;4.9919;0.0192;88.6828;0.0299;0.1495
-0.57619;110.11331;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.57619;110.23641;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.57619;110.35951;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.57619;110.48261;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.57619;110.60571;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.57619;110.72881;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.57619;110.85191;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.57619;110.97501;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.66519;116.80591;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.66519;116.90041;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.66519;116.99491;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.66519;117.08941;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.66519;117.18391;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.66519;117.27841;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.66519;117.37291;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.66519;117.46741;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.66519;117.56191;27.9288;4.6922;0.0188;80.0258;0.0361;0.1694
-0.66519;117.65641;27.9288;4.6922;0.0188;80.0258;0.0361;0.1694
-0.71019;109.86711;26.5321;4.9919;0.0192;88.6828;0.0299;0.1495
-0.71019;109.99021;26.5321;4.9919;0.0192;88.6828;0.0299;0.1495
-0.71019;110.11331;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.71019;110.23641;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.71019;110.35951;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.71019;110.48261;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.71019;110.60571;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.71019;110.72881;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.71019;110.85191;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.71019;110.97501;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.71209;110.55891;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.71209;110.70721;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.71209;110.85551;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.71209;111.00381;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
-0.71209;111.15211;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
-0.71209;111.30041;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
-0.71209;111.44871;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
-0.71209;111.59701;25.2195;4.9237;0.0186;90.4702;0.0338;0.1664
-0.71209;111.74531;25.2195;4.9237;0.0186;90.4702;0.0338;0.1664
-0.71209;111.89361;25.2195;4.9237;0.0186;90.4702;0.0338;0.1664
-0.71209;112.04191;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.71209;112.19021;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.71209;112.33851;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.71209;112.48681;25.0173;4.8987;0.0184;90.7104;0.0344;0.1687
-0.71209;112.63511;24.8009;4.8987;0.0183;90.994;0.0351;0.1719
-0.71209;112.78341;24.8009;4.8987;0.0183;90.994;0.0351;0.1719
-0.71209;112.93171;24.8009;4.8987;0.0183;90.994;0.0351;0.1719
-0.71209;113.08001;24.8282;4.9441;0.0184;91.185;0.0347;0.1714
-0.71209;113.22831;24.8282;4.9441;0.0184;91.185;0.0347;0.1714
-0.71209;113.37661;24.8282;4.9441;0.0184;91.185;0.0347;0.1714
-0.71209;113.52491;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.71209;113.67321;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.71209;113.82151;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.71209;113.96981;25.2528;4.9441;0.0187;91.2927;0.0324;0.1601
-0.71209;114.11811;25.4229;4.963;0.0187;90.7425;0.0324;0.1606
-0.71209;114.26641;25.4229;4.963;0.0187;90.7425;0.0324;0.1606
-0.71209;114.41471;25.4229;4.963;0.0187;90.7425;0.0324;0.1606
-0.71209;114.56301;25.565;4.963;0.0188;90.772;0.0316;0.1568
-0.71209;114.71131;25.565;4.963;0.0188;90.772;0.0316;0.1568
-0.71209;114.85961;25.565;4.963;0.0188;90.772;0.0316;0.1568
-0.71209;115.00791;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.71209;115.15621;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.71209;115.30451;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.71209;115.45281;25.5944;4.9113;0.0188;90.8544;0.0313;0.1539
-0.71209;115.60111;25.5591;4.9113;0.0188;90.6958;0.0317;0.1559
-0.71209;115.74941;25.5591;4.9113;0.0188;90.6958;0.0317;0.1559
-0.71209;115.89771;25.5591;4.9113;0.0188;90.6958;0.0317;0.1559
-0.71209;116.04601;25.6388;4.783;0.0187;90.2336;0.0321;0.1533
-0.71209;116.19431;25.6388;4.783;0.0187;90.2336;0.0321;0.1533
-0.71209;116.34261;25.6388;4.783;0.0187;90.2336;0.0321;0.1533
-0.79249;116.80591;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.79249;116.90041;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.79249;116.99491;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.79249;117.08941;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.79249;117.18391;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.79249;117.27841;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.79249;117.37291;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.79249;117.46741;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.79249;117.56191;27.9288;4.6922;0.0188;80.0258;0.0361;0.1694
-0.79249;117.65641;27.9288;4.6922;0.0188;80.0258;0.0361;0.1694
-0.84419;109.86711;26.5321;4.9919;0.0192;88.6828;0.0299;0.1495
-0.84419;109.99021;26.5321;4.9919;0.0192;88.6828;0.0299;0.1495
-0.84419;110.11331;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.84419;110.23641;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.84419;110.35951;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.84419;110.48261;26.0505;5.0131;0.0191;90.1263;0.0302;0.1512
-0.84419;110.60571;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.84419;110.72881;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.84419;110.85191;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.84419;110.97501;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.85989;110.55891;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.85989;110.70721;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.85989;110.85551;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.85989;111.00381;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
